id,title,description,link,image_link,additional_image_link,price,availability,condition,brand,mpn,gtin,product_type,google_product_category,shipping_country,shipping_service,shipping_price,shipping_weight,min_handling_time,max_handling_time,min_transit_time,max_transit_time,tax_country,tax_rate,country_of_origin,identifier_exists
1,Hair Tie Scrunchie Set 8-Piece Accessories,Hair Tie Scrunchie Set 8-Piece Accessories.,https://www.yeatru.com/product-1.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ACC-001.png,,1.00 USD,in_stock,new,Yeatru Sourcing,YCS-ACC-001,,Home & Garden > Hair Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
2,Bracelet Gift Box Jewelry Velvet,Bracelet Gift Box Jewelry Velvet.,https://www.yeatru.com/product-2.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ACC-002.png,,0.86 USD,in_stock,new,Yeatru Sourcing,YCS-ACC-002,,Home & Garden > Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
3,Noise Canceling Earplugs Sleep Reusable,Noise Canceling Earplugs Sleep Reusable.,https://www.yeatru.com/product-3.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ACC-003.png,,0.31 USD,in_stock,new,Yeatru Sourcing,YCS-ACC-003,,Home & Garden > Personal Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
4,Fashion Accessories Replacement Parts,Fashion Accessories Replacement Parts.,https://www.yeatru.com/product-4.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ACC-004.png,,4.96 USD,in_stock,new,Yeatru Sourcing,YCS-ACC-004,,Home & Garden > Machinery,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
5,Blue Fabric Sleep Mask Eye Cover with Cyan Accents,Blue Fabric Sleep Mask Eye Cover with Cyan Accents. Available in Blue.,https://www.yeatru.com/product-5.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ACC-005.jpg,,0.03 USD,in_stock,new,Yeatru Sourcing,YCS-ACC-005,,Home & Garden > Personal Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
6,Necklace Jewelry Fashion Gift,Necklace Jewelry Fashion Gift.,https://www.yeatru.com/product-6.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ACC-006.png,,2.06 USD,in_stock,new,Yeatru Sourcing,YCS-ACC-006,,Home & Garden > Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
7,Auto Repair Tool Set Mechanic Professional,Auto Repair Tool Set Mechanic Professional.,https://www.yeatru.com/product-7.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-001.png,,53.72 USD,in_stock,new,Yeatru Sourcing,YCS-ART-001,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
8,Auto Repair Tool Set Mechanic Professional,Auto Repair Tool Set Mechanic Professional.,https://www.yeatru.com/product-8.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-002.png,,115.00 USD,in_stock,new,Yeatru Sourcing,YCS-ART-002,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
9,Bearing Puller Tool Auto Repair Heavy Duty,Bearing Puller Tool Auto Repair Heavy Duty.,https://www.yeatru.com/product-9.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-003.png,,22.31 USD,in_stock,new,Yeatru Sourcing,YCS-ART-003,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
10,Spring Compressor Tool Auto Repair Strut,Spring Compressor Tool Auto Repair Strut.,https://www.yeatru.com/product-10.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-004.png,,11.84 USD,in_stock,new,Yeatru Sourcing,YCS-ART-004,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
11,Disassembly Tool Set Auto Repair AC,Disassembly Tool Set Auto Repair AC.,https://www.yeatru.com/product-11.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-005.png,,11.16 USD,in_stock,new,Yeatru Sourcing,YCS-ART-005,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
12,Magnetic Tool Tray Metal Parts Organizer,Magnetic Tool Tray Metal Parts Organizer.,https://www.yeatru.com/product-12.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-006.png,,7.90 USD,in_stock,new,Yeatru Sourcing,YCS-ART-006,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
13,Magnetic Spark Plug Tool Auto Repair,Magnetic Spark Plug Tool Auto Repair.,https://www.yeatru.com/product-13.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-007.png,,1.08 USD,in_stock,new,Yeatru Sourcing,YCS-ART-007,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
14,Ball Joint Puller Auto Repair Forged,Ball Joint Puller Auto Repair Forged.,https://www.yeatru.com/product-14.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-008.png,,4.10 USD,in_stock,new,Yeatru Sourcing,YCS-ART-008,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
15,Magnetic Tool Strip Bar Wall Mount Organizer,Magnetic Tool Strip Bar Wall Mount Organizer.,https://www.yeatru.com/product-15.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-ART-009.png,,47.20 USD,in_stock,new,Yeatru Sourcing,YCS-ART-009,,Home & Garden > Auto Repair Tools,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
16,Black Wireless Bluetooth Earbuds TWS Charging Case,Black Wireless Bluetooth Earbuds TWS Charging Case. Available in Black.,https://www.yeatru.com/product-16.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-001.png,,20.94 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-001,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
17,White Wireless Bluetooth Earbuds TWS Charging Case,White Wireless Bluetooth Earbuds TWS Charging Case. Available in White.,https://www.yeatru.com/product-17.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-002.png,,19.40 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-002,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
18,White Wireless Bluetooth Earbuds TWS Charging Case,White Wireless Bluetooth Earbuds TWS Charging Case. Available in White.,https://www.yeatru.com/product-18.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-003.png,,3.95 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-003,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
19,Black Bluetooth Speaker Portable Wireless,Black Bluetooth Speaker Portable Wireless. Available in Black.,https://www.yeatru.com/product-19.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-004.png,,21.46 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-004,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
20,Black Bluetooth Speaker Portable Wireless,Black Bluetooth Speaker Portable Wireless. Available in Black.,https://www.yeatru.com/product-20.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-005.png,,18.54 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-005,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
21,Bluetooth Speaker Portable Wireless,Bluetooth Speaker Portable Wireless. Available in Blue.,https://www.yeatru.com/product-21.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-006.png,,1.89 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-006,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
22,Bluetooth Speaker Portable Wireless,Bluetooth Speaker Portable Wireless. Available in Blue.,https://www.yeatru.com/product-22.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-007.png,,12.01 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-007,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
